"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CERS2",4773.24172510176,-0.318892992579782,0.0454895097572775,-7.0102534470327,2.37886800010028e-12,5.80849159665741e-11
"CERS3",2.39151038417808,-0.150710333245367,1.11102760653818,-0.135649494538628,0.892098376059358,NA
"CERS4",273.40500509672,0.284081355546639,0.119054913396268,2.38613718193293,0.0170263985195278,0.0441421350786481
"CERS5",626.294590902792,-0.0293636293664754,0.0781473730723057,-0.375746851264043,0.707105103586072,0.804636842011737
"CERS6",3514.4769534896,-0.37107095184505,0.0505793900864474,-7.3364062162639,2.19405428179498e-13,6.45763544020199e-12
"CES1",0,NA,NA,NA,NA,NA
"CES1P1",0,NA,NA,NA,NA,NA
"CES1P2",0,NA,NA,NA,NA,NA
"CES2",1102.20826937752,-0.343032841887276,0.0809969201514604,-4.23513438839182,2.28415060922241e-05,0.000134166128017433
"CES3",480.991713980825,-0.347371687672227,0.0917943439455613,-3.78423846983684,0.000154179938734728,0.000735551781317694
"CES4A",0.945532641665953,1.68490168389786,1.94696051038884,0.865401057138729,0.386818700982899,NA
"CES5A",0.191437162958968,0.920669066324202,3.80981486104154,0.241657167055227,0.809045821662789,NA
"CES5AP1",0.690874206850321,0.788668855926143,2.17274389376277,0.362982889143148,0.716617666360389,NA
"CETN1",0,NA,NA,NA,NA,NA
"CETN2",861.895338309377,-0.58658094713904,0.0747075452215614,-7.85169617606103,4.1044784940041e-15,1.63130550363885e-13
"CETN3",997.960654060067,0.335681904317155,0.0768650814140907,4.36715733778717,1.25874054818258e-05,7.94886764282529e-05
"CETN4P",40.3910873721174,0.417981794504726,0.292417648362891,1.42940002713519,0.152889290626332,0.264000693697794
"CETP",0.761212052814094,-2.30701373118397,2.23646931134509,-1.03154276228206,0.302286365880163,NA
"CFB",5.22865192884218,0.886343099598327,0.805512802417828,1.10034638423856,0.271181229523395,0.407145715465501
"CFC1",0,NA,NA,NA,NA,NA
"CFC1B",0,NA,NA,NA,NA,NA
"CFD",119.302140820692,-0.121248346596165,0.173108145006899,-0.700419651492033,0.483665267285161,0.623115610027599
"CFDP1",1372.32562158672,0.217969950553677,0.0627925631154583,3.47127015906151,0.000518002564105073,0.00216021748395618
